Word,Length (Ortho),Word_PTAN,Word_PTAF,Word_OTAN,Word_OTAF,Pseudoword,Consonant_Pseudoword,Pseudoword_PTAN,Pseudoword_PTAF,Pseudoword_OTAN,Pseudoword_OTAF,PTAF_RelDiff_Pct,OTAN_Diff,OTAF_RelDiff_Pct,Status,Method
chair,5,37,220.2279,7,27.6163,charp,yyxcq,15,222.9804,9,8.4096,1.25,2,69.55,MATCHED,existing
stone,5,18,6.9662,12,15.1356,stoms,lpdgm,5,6.6667,6,4.9739,4.3,-6,67.14,MATCHED,existing
brick,5,20,42.6882,9,11.2505,brids,gmbcs,7,43.6469,6,4.915,2.25,-3,56.31,MATCHED,existing
cloth,5,5,2.4784,5,1.0235,clonx,lntkc,1,2.8431,1,2.5098,14.72,-4,145.22,MATCHED,existing
tulip,5,1,1.1373,1,1.1373,tutim,vqrrz,2,1.1569,0,0.0,1.72,-1,100.0,MATCHED,wuggy
flame,5,9,14.2331,7,15.1289,flard,ktkqr,7,14.4511,2,2.951,1.53,-5,80.49,MATCHED,existing
block,5,17,20.4106,8,38.3162,bloil,jcmtq,2,17.9412,1,5.9412,12.1,-7,84.49,MATCHED,existing
scale,5,12,34.0735,6,11.3203,scang,mrffj,7,33.9609,4,5.1716,0.33,-2,54.32,MATCHED,existing
cable,5,11,25.4474,7,38.6219,baple,wgddb,5,26.2156,2,2.6372,3.02,-5,93.17,MATCHED,existing
brush,5,6,9.0131,5,13.0824,snush,hqwjk,5,9.0001,2,1.5981,0.14,-3,87.78,MATCHED,existing
token,5,3,47.0784,4,35.5098,holen,jjvph,4,45.4118,5,23.302,3.54,1,34.38,MATCHED,existing
model,5,10,11.4412,5,6.8196,hudel,dvswg,6,11.1961,0,0.0,2.14,-5,100.0,MATCHED,existing
frame,5,12,173.4444,4,6.3529,fratt,pyqyf,10,176.2548,1,3.1373,1.62,-3,50.62,MATCHED,existing
fiber,5,5,46.7059,4,1.4902,yurts,zclbw,4,47.2158,1,37.3922,1.09,-3,2409.21,MATCHED,existing
clock,5,21,8.1634,10,12.9255,clomp,szvyp,3,9.0588,3,3.0196,10.97,-7,76.64,MATCHED,existing
throne,6,11,18.6239,2,1.2353,throld,ztkzkg,2,19.5294,0,0.0,4.86,-2,100.0,MATCHED,wuggy
beacon,6,5,5.7647,2,7.3627,paecon,cmgyyg,3,7.9019,0,0.0,37.07,-2,100.0,BEST_AVAILABLE,existing
fabric,6,1,0.7451,1,0.7451,faydic,dpfpwh,1,0.7451,0,0.0,0.0,-1,100.0,MATCHED,existing
dragon,6,1,4.549,2,2.4608,drobon,lxmkxw,1,4.549,0,0.0,0.0,-2,100.0,MATCHED,existing
clinic,6,2,1.951,1,0.98039,swonic,xslswr,1,1.9412,1,1.9412,0.5,0,98.0,MATCHED,existing
helmet,6,1,2.0196,1,2.0196,hidmet,hjlvpp,1,2.0196,0,0.0,0.0,-1,100.0,MATCHED,existing
jungle,6,3,2.4052,3,2.4052,jargle,wdrjpw,3,3.2549,1,0.5882,35.33,-2,75.54,BEST_AVAILABLE,existing
marble,6,7,8.9132,1,3.0392,pamble,hycppg,2,9.549,2,4.7745,7.13,1,57.1,MATCHED,existing
signal,6,3,3.4837,1,9.5294,sildal,pmmtbk,3,10.451,0,0.0,200.0,-1,100.0,BEST_AVAILABLE,existing
ticket,6,4,11.7794,5,9.6392,lucket,vdxgsf,3,12.6471,3,4.2157,7.37,-2,56.27,MATCHED,existing
hazard,6,3,1.1961,1,0.62745,hacate,mlcsns,1,1.098,2,0.7549,8.2,1,20.31,MATCHED,existing
napkin,6,1,2.5686,1,2.5686,nadcin,pppjxc,1,2.5686,0,0.0,0.0,-1,100.0,MATCHED,existing
manual,6,2,3.902,1,0.60784,munyac,xxnvsq,2,7.8039,0,0.0,100.0,-1,100.0,BEST_AVAILABLE,existing
lizard,6,6,2.5229,2,5.951,ticard,jjkjzk,2,3.5098,1,1.5294,39.12,-1,74.3,BEST_AVAILABLE,existing
kitten,6,8,16.8088,3,1.915,watten,llwnph,4,21.4901,2,0.4412,27.85,-1,76.96,BEST_AVAILABLE,existing
blanket,7,1,5.098,1,5.098,blarhet,hcghwnd,1,5.098,0,0.0,0.0,-1,100.0,MATCHED,existing
journal,7,5,23.8824,1,1.7843,veirnal,mdpmxhw,4,108.7452,0,0.0,355.34,-1,100.0,BEST_AVAILABLE,existing
monster,7,4,6.2892,3,4.0131,ronquer,hzrbvhk,2,6.2353,1,4.9804,0.86,-2,24.1,MATCHED,existing
picture,7,4,18.6618,2,35.402,secture,fwctlsj,2,17.5294,2,17.4019,6.07,0,50.84,MATCHED,existing
machine,7,1,13.8627,1,13.8627,machent,cyrfzyf,1,13.8627,0,0.0,0.0,-1,100.0,MATCHED,existing
